year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,3,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",145,26,10.83,0,5.86,0,9.31,0,0,935,437,0,193,0,305
2017,3,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",89,16,2.12,0.41,6.21,0,7.26,3,0,689,100,40,139,0,410
2017,3,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1205,241,78.79,4.13,74.99,0.95,82.14,9,3,12584,3827,372,2839,38,5508
2017,3,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",749,111,36.77,3.42,23.51,0.05,47.26,2,0,5112,1398,219,752,1,2742
2017,3,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",410,102,28.99,2.59,45.01,0,25.41,22,0,3929,1185,232,1183,0,1329
2017,3,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",419,96,47.81,1.51,16.45,0,30.22,0,1,5301,2575,83,470,0,2173
2017,3,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",103,7,3.04,0,1.62,0,2.34,0,0,328,216,0,44,0,68
2017,3,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",2185,478,127.44,8.96,212.82,0.64,128.14,135,0,24189,6632,561,7979,27,8990
2017,3,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",93,16,5.54,1.04,5.44,0,3.98,0,0,448,157,28,135,0,128
2017,3,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",479,118,39.35,0.91,41.9,0,35.85,7,1,6113,2388,112,1302,0,2311
2017,3,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",54,13,1.84,1.36,3.82,0,5.98,0,0,623,97,160,122,0,244
2017,3,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",225,45,15.01,1.02,15.1,0,13.86,2,1,2529,928,39,443,0,1119
2017,3,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",8467,1220,314.27,18.47,431.8,2,453.46,128,28,67741,21431,1225,16099,135,28851
2017,3,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",209,35,19.46,0,9.01,0.88,5.65,0,0,2088,1257,0,234,44,553
2017,3,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",122,33,15.82,2.97,5.63,0,8.58,2,1,1726,873,154,169,0,530
2017,3,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",54,14,6.36,0,4.29,0,3.35,0,0,1335,829,0,123,0,383
2017,3,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2330,450,123.18,9.23,178.97,1,137.62,71,4,20692,6608,606,5249,21,8208
2017,3,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",900,176,57.11,3.32,67.97,0.43,47.17,7,1,11725,3237,527,3531,30,4400
2017,3,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11722,1608,468.89,31.93,444.55,1.83,660.8,81,26,111535,47729,1880,14696,115,47115
2017,3,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",122,23,6.8,0,1.72,0,14.48,0,0,1503,400,0,68,0,1035
2017,3,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",594,113,41.84,2.45,34.96,0.17,33.58,6,3,6013,2341,141,1178,10,2343
2017,3,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",198,48,26.25,0.78,14.38,0,6.59,2,0,4782,2515,21,444,0,1802
2017,3,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",126,25,14.9,1,2.81,0,6.29,0,0,1139,651,47,154,0,287
2017,3,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",630,225,40.79,3.31,149.27,1.31,30.33,34,0,12384,1969,236,8143,61,1975
2017,3,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",60,14,6.67,0,2.49,0,4.84,0,0,549,323,0,70,0,156
2017,3,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",781,126,47.76,2.55,36.49,0,39.21,7,0,5331,2034,98,1183,0,2016
2017,3,AA,American Airlines Inc.,GEG,"Spokane, WA: Spokane International",62,5,1.53,0,1,0,2.47,0,0,394,122,0,22,0,250
2017,3,AA,American Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",39,9,6.7,0,1.32,0,0.99,0,0,523,264,0,29,0,230
2017,3,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",35,2,0.67,0,1.33,0,0,0,0,48,20,0,28,0,0
2017,3,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",236,37,20.93,0,12.63,0,3.45,1,0,1980,1491,0,354,0,135
2017,3,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",236,52,18.01,0.57,23.94,1,8.48,3,1,3012,1488,21,875,149,479
2017,3,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",637,118,42.7,2.7,36.35,0,36.24,1,0,7215,2554,217,2033,0,2411
2017,3,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",33,5,3.08,0,0,0,1.92,0,1,815,639,0,0,0,176
2017,3,AA,American Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",54,8,2.17,1.11,1.93,0,2.78,0,0,461,130,46,73,0,212
2017,3,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",339,62,19.9,0.21,17.29,0,24.6,0,0,3377,1017,50,499,0,1811
2017,3,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",35,5,2.45,0,1.55,0,1,0,0,188,110,0,30,0,48
2017,3,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",382,73,20.1,0.72,12.46,0.61,39.12,2,0,4417,1303,29,460,20,2605
2017,3,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1537,406,86.81,3.66,234.49,0.43,80.61,77,8,30253,8377,529,13606,21,7720
2017,3,AA,American Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",96,9,4.55,0,2.55,0,1.91,2,1,702,533,0,65,0,104
2017,3,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1307,227,79.9,4.85,72.96,1.04,68.25,11,2,13028,5116,161,3606,29,4116
2017,3,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3158,777,147.84,11.84,462.2,2.03,153.09,38,1,44000,11381,1142,19749,68,11660
2017,3,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1911,554,94.25,10.04,308.22,0.36,141.13,122,2,29098,5532,657,13691,10,9208
2017,3,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",80,8,4.95,0,1.64,0,1.41,1,1,835,623,0,40,0,172
2017,3,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",497,67,25.08,0.71,19.37,0.33,21.5,0,0,3305,1142,26,749,9,1379
2017,3,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1713,341,130.89,7.57,99.03,0.14,103.37,17,1,18205,6860,918,2827,17,7583
2017,3,AA,American Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",58,9,1.5,0.8,2.52,0,4.18,3,0,452,51,53,91,0,257
2017,3,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",277,58,20.07,1.73,10.62,0.32,25.27,0,0,2916,844,92,359,9,1612
2017,3,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",56,10,3.07,0,1.5,0.54,4.89,0,0,453,122,0,56,31,244
2017,3,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4645,788,254.62,4.5,259.73,2.25,266.89,68,5,50632,20559,235,8249,54,21535
2017,3,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",178,41,17.51,0,8.65,0,14.84,0,1,2523,769,0,254,0,1500
2017,3,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",813,155,56.48,3.33,53.55,0.45,41.19,5,1,7615,3066,111,1946,9,2483
2017,3,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",584,111,34.33,1.56,33.65,0.95,40.51,2,1,5154,1489,118,1098,19,2430
2017,3,AA,American Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",35,8,2.55,0,1.69,0.04,3.71,0,0,323,131,0,42,2,148
2017,3,AA,American Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",93,8,5.86,0,0.55,0,1.6,0,0,448,347,0,17,0,84
2017,3,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",174,34,18.5,0,10.42,0,5.07,0,0,2307,1368,0,278,0,661
2017,3,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",120,26,9.6,0,4.26,0,12.14,1,1,1233,401,0,95,0,737
2017,3,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",188,37,12.31,0,10.48,0,14.2,0,0,1782,696,0,255,0,831
2017,3,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",232,39,13.1,0,15.85,0.05,10,0,0,2299,935,0,619,9,736
2017,3,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5305,1015,251.46,14.85,419.48,4.19,325.02,71,5,60422,15968,1858,19112,235,23249
2017,3,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",170,31,15.21,2.08,6.76,0,6.95,1,0,1727,657,388,217,0,465
2017,3,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",581,101,37.14,3.18,32.37,0,28.31,7,0,4157,1711,103,1021,0,1322
2017,3,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International",328,63,21.08,2.04,21.39,0.2,18.29,0,0,3800,1386,125,744,6,1539
2017,3,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",3810,724,176.85,9.38,371.61,1.44,164.72,146,3,39796,12327,606,13980,53,12830
2017,3,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5152,609,185.78,10.94,205.61,2.08,204.58,40,4,33179,13401,670,6103,48,12957
2017,3,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",426,93,35.66,1.07,30.68,0,25.6,3,0,4316,1760,31,899,0,1626
2017,3,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",155,41,12.45,2.32,18.77,0,7.46,0,1,1518,456,96,676,0,290
2017,3,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",182,29,8.87,0.31,8.01,0,11.8,11,1,1445,416,19,251,0,759
2017,3,AA,American Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",62,16,2.8,0,9.78,0,3.42,3,0,659,183,0,273,0,203
2017,3,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",828,179,47.17,3.56,62.66,0.52,65.09,11,0,8145,2582,242,2086,15,3220
2017,3,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",205,46,18.3,0.33,12.49,0.56,14.32,1,0,2320,920,20,462,10,908
2017,3,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",186,22,9.09,0.35,8.57,0,3.99,0,1,804,342,11,235,0,216
2017,3,AA,American Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",58,13,3.62,0,7.77,0,1.61,4,0,320,113,0,179,0,28
2017,3,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",550,85,40.39,4.51,24.5,0,15.61,4,0,3327,1555,167,893,0,712
2017,3,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",779,144,54.18,4.21,49.68,0,35.93,5,4,6862,3322,136,1647,0,1757
2017,3,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",478,98,46.1,0.95,13.71,0,37.25,2,3,5074,2375,52,559,0,2088
2017,3,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville International-Standiford Field",23,5,1.22,0,1.56,0,2.22,1,1,170,26,0,49,0,95
2017,3,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",626,149,36.92,2.29,60.35,0.73,48.71,1,4,7497,2418,218,1848,29,2984
2017,3,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1112,326,82.22,7.44,163.54,1.67,71.14,14,3,20919,7124,387,8570,94,4744
2017,3,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",310,28,9.15,0.83,11.22,0,6.8,1,1,1253,336,48,476,0,393
2017,3,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",547,102,47.38,3.4,31.07,0.13,20.02,5,0,9751,5762,133,927,13,2916
2017,3,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",432,81,27.74,1.55,27.52,0,24.19,1,2,3893,1425,112,858,0,1498
2017,3,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",347,70,15.38,0,24.8,0,29.82,0,0,3481,888,0,889,0,1704
2017,3,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",520,99,34.01,1.43,38.83,1.17,23.56,1,2,4217,1670,63,1386,95,1003
2017,3,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",693,141,52.43,1.93,29.82,0,56.81,5,0,8850,3540,90,975,0,4245
2017,3,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",208,41,15.8,0,19.11,0,6.08,2,0,1917,1109,0,522,0,286
2017,3,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen",66,13,6.87,0,1.15,0,4.98,0,0,552,290,0,64,0,198
2017,3,AA,American Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",58,6,0.93,0,2.97,0,2.09,3,0,151,25,0,75,0,51
2017,3,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1083,194,65.68,7.86,53.92,0,66.54,9,2,8789,2999,1043,1585,0,3162
2017,3,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",242,44,19.99,0,4.58,0,19.44,0,0,2361,846,0,131,0,1384
2017,3,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",281,37,17.64,1.22,11.25,0,6.89,1,1,1873,931,35,507,0,400
2017,3,AS,Alaska Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",32,6,4.32,0,0.68,0,1,0,0,191,153,0,12,0,26
2017,3,AS,Alaska Airlines Inc.,ADK,"Adak Island, AK: Adak",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",49,4,2.74,0.24,1.02,0,0,2,0,222,148,16,58,0,0
2017,3,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1054,153,45.3,1.12,35.61,4.98,65.98,9,0,6271,1706,77,1014,420,3054
2017,3,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",62,13,3.35,0.14,6.36,0,3.16,0,0,508,189,6,207,0,106
2017,3,AS,Alaska Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",54,12,3.97,0,2.91,0,5.12,0,0,418,194,0,71,0,153
2017,3,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",85,10,5.35,0.45,1.9,0,2.3,1,0,527,366,15,72,0,74
2017,3,AS,Alaska Airlines Inc.,BLI,"Bellingham, WA: Bellingham International",77,10,3.05,0,5.24,0,1.71,1,0,378,121,0,215,0,42
2017,3,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",31,3,0.8,0,1.95,0,0.25,0,0,92,12,0,66,0,14
2017,3,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",119,14,3.45,0,5.56,0,4.99,3,1,976,657,0,167,0,152
2017,3,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",79,17,0.78,0.03,5.51,0,10.67,2,1,710,36,3,160,0,511
2017,3,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope",93,19,5.06,0,11.56,0,2.38,0,0,526,178,0,296,0,52
2017,3,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",75,8,2.84,0,4,0,1.15,1,0,400,224,0,113,0,63
2017,3,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith",62,7,4.07,0,0.75,0,2.19,2,2,288,135,0,35,0,118
2017,3,AS,Alaska Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",18,3,1.65,0,0.47,0,0.88,0,0,170,41,0,7,0,122
2017,3,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",124,19,3.03,0,10.07,0,5.89,2,0,643,274,0,240,0,129
2017,3,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",137,19,5.19,0,9.35,0,4.46,0,1,867,171,0,549,0,147
2017,3,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",124,17,9.61,0,5.4,0,1.99,0,0,589,307,0,151,0,131
2017,3,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",31,7,1.37,0,4.69,0,0.94,0,0,267,105,0,146,0,16
2017,3,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",140,48,9.92,0,33.06,0,5.03,5,0,3362,701,0,2462,0,199
2017,3,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International",176,15,6.56,0,2.15,0,6.29,2,0,532,286,0,45,0,201
2017,3,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",43,8,1.51,0,5.61,0,0.88,0,0,285,92,0,155,0,38
2017,3,AS,Alaska Airlines Inc.,GEG,"Spokane, WA: Spokane International",127,38,14.48,0,14.27,0,9.25,0,0,1110,492,0,322,0,296
2017,3,AS,Alaska Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",183,35,6.42,0.27,20.41,0,7.9,0,1,1484,525,10,596,0,353
2017,3,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",31,6,0,0,2.9,0,3.1,0,0,151,0,0,57,0,94
2017,3,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",54,8,5.49,0,2.51,0,0,0,0,259,171,0,88,0,0
2017,3,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31,4,3,0,0.45,0,0.55,1,0,115,84,0,14,0,17
2017,3,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",329,65,16.8,2.16,14.59,0.1,31.34,2,0,2986,997,76,428,2,1483
2017,3,AS,Alaska Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",164,32,5.31,0,22.02,0,4.66,1,1,1395,524,0,655,0,216
2017,3,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International",182,45,15.72,0,12.2,0,17.08,1,2,2069,739,0,422,0,908
2017,3,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",424,72,17.51,0,32.64,0,21.85,2,3,3092,678,0,1198,0,1216
2017,3,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",757,249,30.22,1,193.57,0,24.21,5,0,10884,1674,19,7699,0,1492
2017,3,AS,Alaska Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",124,23,0.61,0.71,16.94,0,4.74,0,1,1057,22,26,515,0,494
2017,3,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",51,11,3.03,0.04,4.04,0,3.89,0,0,361,103,1,115,0,142
2017,3,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",97,20,5.99,0.42,9.15,0,4.44,0,1,624,217,14,262,0,131
2017,3,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",52,7,4.79,0,0.36,0,1.85,0,0,570,422,0,13,0,135
2017,3,AS,Alaska Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",31,6,1.29,0,1.83,0,2.88,0,0,161,46,0,40,0,75
2017,3,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",191,34,6.76,0.64,12.46,0,14.14,0,0,2056,738,16,340,0,962
2017,3,AS,Alaska Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",278,42,6.4,0,30.3,0,5.3,0,2,2082,731,0,915,0,436
2017,3,AS,Alaska Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",31,3,0.09,0,2.91,0,0,0,1,114,7,0,107,0,0
2017,3,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",62,8,0.89,1.7,2.5,0.88,2.03,2,1,285,71,50,75,21,68
2017,3,AS,Alaska Airlines Inc.,ONT,"Ontario, CA: Ontario International",60,9,5.94,0,1.06,0,2,0,0,763,525,0,28,0,210
2017,3,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",165,21,5.45,0,12.32,0,3.23,3,0,896,374,0,430,0,92
2017,3,AS,Alaska Airlines Inc.,OTZ,"Kotzebue, AK: Ralph Wien Memorial",62,7,1.69,0.97,3.72,0,0.63,1,1,315,70,111,122,0,12
2017,3,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1287,209,56.76,2.83,68.99,2.39,78.03,11,1,10104,2899,311,1880,73,4941
2017,3,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",32,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,3,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",279,56,16.24,0,23.67,0,16.09,1,0,2210,617,0,604,0,989
2017,3,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson",62,21,3.28,3.13,3.24,0,11.35,0,0,1317,263,207,126,0,721
2017,3,AS,Alaska Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",209,48,12.57,0.68,16.5,0,18.26,1,2,2312,709,44,511,0,1048
2017,3,AS,Alaska Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",31,3,1,0,2,0,0,0,0,51,17,0,34,0,0
2017,3,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",520,105,21.62,1.86,50.66,0,30.86,5,8,5667,1288,43,1373,0,2963
2017,3,AS,Alaska Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",31,6,1.13,0,2.81,0,2.06,0,0,294,173,0,71,0,50
2017,3,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport",62,17,6.63,1.42,8.05,0,0.9,0,1,782,355,142,239,0,46
2017,3,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",4850,973,171.75,12.31,498.08,5.57,285.29,27,5,43686,9705,1145,14630,249,17957
2017,3,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",494,137,24.85,1,87.43,0,23.72,1,5,7833,1127,117,5381,0,1208
2017,3,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",90,22,6.04,2.14,5.08,0,8.75,1,1,883,267,139,154,0,323
2017,3,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",393,70,20.2,0,27.97,0,21.83,1,3,3166,1393,0,695,0,1078
2017,3,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",213,38,18.45,0.4,8.66,0,10.49,0,0,1604,926,14,233,0,431
2017,3,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",173,31,5.69,1,16.8,0,7.51,0,0,1328,462,31,386,0,449
2017,3,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",297,39,7.74,0,19.81,0,11.46,0,0,1426,373,0,558,0,495
2017,3,AS,Alaska Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",51,8,3.55,0,1.45,0,3,0,1,430,158,0,27,0,245
2017,3,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",31,1,0,0,0,0,1,0,0,17,0,0,0,0,17
2017,3,AS,Alaska Airlines Inc.,TUS,"Tucson, AZ: Tucson International",33,7,3.19,0,3.47,0,0.34,0,0,425,330,0,81,0,14
2017,3,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport",62,18,1.76,2.56,1.71,0,11.98,0,1,1115,54,167,118,0,776
2017,3,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",62,9,1.37,1.16,1.94,0,4.53,1,2,549,35,73,117,0,324
2017,3,B6,JetBlue Airways,ABQ,"Albuquerque, NM: Albuquerque International Sunport",27,11,4.61,0,0.21,0,6.18,2,0,559,200,0,5,0,354
2017,3,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",62,9,3.25,0,1.71,0,4.03,2,0,346,103,0,35,0,208
2017,3,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,1,0.55,0,0,0,0.45,0,0,220,122,0,0,0,98
2017,3,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",244,47,19.14,0,9.01,0,18.84,6,0,3155,1271,0,344,0,1540
2017,3,B6,JetBlue Airways,BDL,"Hartford, CT: Bradley International",337,85,35.79,0.66,9.88,0,38.67,13,1,5619,2696,27,480,0,2416
2017,3,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",93,23,12.03,0,4.6,0,6.36,2,0,1673,973,0,235,0,465
2017,3,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",4200,1030,275.01,9.04,299.44,0,446.51,167,1,67504,17079,961,14471,0,34993
2017,3,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez",88,34,13.61,0.18,4.18,0,16.03,1,1,2226,797,8,156,0,1265
2017,3,B6,JetBlue Airways,BTV,"Burlington, VT: Burlington International",93,20,8.55,0,3.57,0,7.87,9,0,1302,424,0,138,0,740
2017,3,B6,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",374,87,36.28,1.78,16.39,0,32.55,20,2,6073,2290,115,635,0,3033
2017,3,B6,JetBlue Airways,BUR,"Burbank, CA: Bob Hope",31,5,0.94,0,3.68,0,0.37,1,0,218,28,0,177,0,13
2017,3,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",259,65,25.43,0.33,9.88,0,29.36,10,0,4033,1485,36,442,0,2070
2017,3,B6,JetBlue Airways,CHS,"Charleston, SC: Charleston AFB/International",224,55,24.08,0,9.62,0,21.3,7,1,4084,2013,0,306,0,1765
2017,3,B6,JetBlue Airways,CLE,"Cleveland, OH: Cleveland-Hopkins International",116,20,9.18,0.92,1.58,0,8.32,4,0,877,319,41,49,0,468
